bowler,total_batter_runs_conceded_mean,total_runs_from_relevant_extras_mean,total_total_runs_conceded_mean,total_taken_from_relevant_wickets_mean,powerplay_batter_runs_conceded_mean,powerplay_runs_from_relevant_extras_mean,powerplay_total_runs_conceded_mean,powerplay_taken_from_relevant_wickets_mean,non_powerplay_batter_runs_conceded_mean,non_powerplay_runs_from_relevant_extras_mean,non_powerplay_total_runs_conceded_mean,non_powerplay_taken_from_relevant_wickets_mean
0475a86b,0.9126328217237308,0.02243211334120425,0.9510035419126328,0.048406139315230225,0.8385214007782101,0.029182879377431907,0.8929961089494164,0.033073929961089495,0.9449152542372882,0.019491525423728815,0.976271186440678,0.05508474576271186
047d293e,0.7790055248618785,0.09392265193370165,0.9281767955801105,0.08839779005524862,0.7936507936507936,0.06349206349206349,1.0,0.07936507936507936,0.7711864406779662,0.11016949152542373,0.8898305084745762,0.09322033898305085
04855b85,1.1972477064220184,0.06880733944954129,1.2844036697247707,0.04128440366972477,1.2533333333333334,0.09333333333333334,1.3466666666666667,0.013333333333333334,1.167832167832168,0.055944055944055944,1.2517482517482517,0.055944055944055944
04a418e8,1.0784313725490196,0.0196078431372549,1.0980392156862746,0.0784313725490196,,,,,1.0784313725490196,0.0196078431372549,1.0980392156862746,0.0784313725490196
04ab1575,0.375,0.25,0.625,0.0,,,,,0.375,0.25,0.625,0.0
04bc296f,1.0434782608695652,0.021739130434782608,1.076086956521739,0.06521739130434782,,,,,1.0434782608695652,0.021739130434782608,1.076086956521739,0.06521739130434782
04cf2e94,1.009009009009009,0.0,1.0135135135135136,0.05405405405405406,0.7291666666666666,0.0,0.7291666666666666,0.0625,1.2222222222222223,0.0,1.2301587301587302,0.047619047619047616
04df9697,1.1,0.05,1.18,0.05,1.0746268656716418,0.029850746268656716,1.1194029850746268,0.04477611940298507,1.1515151515151516,0.09090909090909091,1.303030303030303,0.06060606060606061
04e145f4,0.7377777777777778,0.13777777777777778,0.8844444444444445,0.04888888888888889,0.8106060606060606,0.13636363636363635,0.9545454545454546,0.045454545454545456,0.6344086021505376,0.13978494623655913,0.7849462365591398,0.053763440860215055
04f0d409,1.093198992443325,0.03526448362720403,1.1360201511335013,0.05037783375314862,1.1181102362204725,0.031496062992125984,1.1574803149606299,0.06299212598425197,1.0814814814814815,0.037037037037037035,1.125925925925926,0.044444444444444446
050492b0,1.2421052631578948,0.05263157894736842,1.305263157894737,0.042105263157894736,0.8571428571428571,0.04081632653061224,0.9183673469387755,0.061224489795918366,1.6521739130434783,0.06521739130434782,1.7173913043478262,0.021739130434782608
053dc208,0.7906137184115524,0.032490974729241874,0.851985559566787,0.04693140794223827,0.5373134328358209,0.04477611940298507,0.6716417910447762,0.04477611940298507,0.8714285714285714,0.02857142857142857,0.9095238095238095,0.047619047619047616
053f3ce3,1.1381381381381381,0.057057057057057055,1.2252252252252251,0.06306306306306306,1.0206896551724138,0.027586206896551724,1.0758620689655172,0.041379310344827586,1.2287234042553192,0.0797872340425532,1.3404255319148937,0.0797872340425532
0544b8a9,2.2857142857142856,0.14285714285714285,2.4285714285714284,0.14285714285714285,,,,,2.2857142857142856,0.14285714285714285,2.4285714285714284,0.14285714285714285
056b433b,0.9146110056925996,0.06451612903225806,1.0265654648956357,0.06261859582542695,0.843558282208589,0.06748466257668712,0.9539877300613497,0.049079754601226995,1.0298507462686568,0.05970149253731343,1.144278606965174,0.0845771144278607
056f58dd,1.0555555555555556,0.0,1.1111111111111112,0.1111111111111111,0.75,0.0,0.8333333333333334,0.08333333333333333,1.6666666666666667,0.0,1.6666666666666667,0.16666666666666666
059ec7a5,1.5393258426966292,0.011235955056179775,1.595505617977528,0.0449438202247191,1.5151515151515151,0.0,1.5757575757575757,0.045454545454545456,1.608695652173913,0.043478260869565216,1.6521739130434783,0.043478260869565216
05c2ca46,1.0190114068441065,0.016159695817490494,1.0522813688212929,0.053231939163498096,1.029126213592233,0.009708737864077669,1.0485436893203883,0.05825242718446602,1.017913593256059,0.01685985247629083,1.0526870389884089,0.05268703898840885
05cf8905,1.3888888888888888,0.0,1.4444444444444444,0.0,,,,,1.3888888888888888,0.0,1.4444444444444444,0.0
05d1964e,0.37037037037037035,0.1111111111111111,0.5,0.0,0.25,0.0,0.25,0.0,0.40476190476190477,0.14285714285714285,0.5714285714285714,0.0
05d74535,1.0153524075366365,0.028611304954640614,1.0774598743893928,0.05792044661549198,0.7912087912087912,0.038461538461538464,0.8736263736263736,0.04945054945054945,1.0479616306954436,0.02717825739408473,1.1071143085531574,0.05915267785771383
05e0fab5,1.3475177304964538,0.02127659574468085,1.3971631205673758,0.04964539007092199,1.4098360655737705,0.03278688524590164,1.4918032786885247,0.04918032786885246,1.3,0.0125,1.325,0.05
05ea0342,1.25,0.0,1.4166666666666667,0.0,,,,,1.25,0.0,1.4166666666666667,0.0
0626d312,1.696969696969697,0.45454545454545453,2.1515151515151514,0.0,1.5,0.625,2.125,0.0,1.76,0.4,2.16,0.0
065c35fc,0.696969696969697,0.09090909090909091,0.7878787878787878,0.030303030303030304,0.7666666666666667,0.1,0.8666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333
06653fcc,0.9127697841726619,0.0368705035971223,0.9577338129496403,0.04136690647482014,0.8246205733558178,0.045531197301854974,0.8802698145025295,0.03204047217537943,1.0134874759152215,0.02697495183044316,1.046242774566474,0.05202312138728324
0680ff7f,0.6764705882352942,0.3235294117647059,1.0,0.058823529411764705,0.0,0.375,0.375,0.125,0.8846153846153846,0.3076923076923077,1.1923076923076923,0.038461538461538464
068c47d2,2.5,0.0,2.5,0.0,,,,,2.5,0.0,2.5,0.0
0697b5a1,1.75,0.0625,1.84375,0.0,1.4444444444444444,0.05555555555555555,1.5555555555555556,0.0,2.142857142857143,0.07142857142857142,2.2142857142857144,0.0
06adaa46,0.9166666666666666,0.0,0.9166666666666666,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0
06b387f1,1.264367816091954,0.04597701149425287,1.3620689655172413,0.09770114942528736,1.1111111111111112,0.03418803418803419,1.188034188034188,0.06837606837606838,1.5789473684210527,0.07017543859649122,1.719298245614035,0.15789473684210525
06b45b20,1.0452261306532664,0.02512562814070352,1.0904522613065326,0.08542713567839195,0.5,0.027777777777777776,0.5277777777777778,0.05555555555555555,1.165644171779141,0.024539877300613498,1.2147239263803682,0.09202453987730061
06b766f4,1.4,0.04,1.44,0.0,1.4583333333333333,0.041666666666666664,1.5,0.0,0.0,0.0,0.0,0.0
06b8bdb3,1.5909090909090908,0.015151515151515152,1.621212121212121,0.045454545454545456,1.6666666666666667,0.08333333333333333,1.75,0.0,1.5740740740740742,0.0,1.5925925925925926,0.05555555555555555
06bcade5,0.8362068965517241,0.125,0.9913793103448276,0.06896551724137931,,,,,0.8362068965517241,0.125,0.9913793103448276,0.06896551724137931
06be92a7,1.2380952380952381,0.2857142857142857,1.5476190476190477,0.0,0.8421052631578947,0.3157894736842105,1.2105263157894737,0.0,1.565217391304348,0.2608695652173913,1.826086956521739,0.0
06c2de82,1.3373493975903614,0.07228915662650602,1.4698795180722892,0.024096385542168676,,,,,1.3373493975903614,0.07228915662650602,1.4698795180722892,0.024096385542168676
06deb88a,1.046875,0.0625,1.109375,0.015625,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.0,1.2058823529411764,0.058823529411764705,1.2647058823529411,0.029411764705882353
06fc82b8,0.7894736842105263,0.05263157894736842,0.8631578947368421,0.07368421052631578,,,,,0.7894736842105263,0.05263157894736842,0.8631578947368421,0.07368421052631578
07160156,5.5,0.0,5.5,0.0,,,,,5.5,0.0,5.5,0.0
07248d8e,0.9329501915708812,0.04597701149425287,0.9885057471264368,0.044061302681992334,0.9418604651162791,0.03488372093023256,0.9767441860465116,0.0,0.9311926605504587,0.0481651376146789,0.9908256880733946,0.052752293577981654
0725d3d2,1.2,0.1,1.3,0.05,1.2307692307692308,0.07692307692307693,1.3076923076923077,0.07692307692307693,1.1428571428571428,0.14285714285714285,1.2857142857142858,0.0
0730a707,1.0541871921182266,0.08620689655172414,1.1896551724137931,0.04926108374384237,1.0119760479041917,0.10778443113772455,1.1976047904191616,0.029940119760479042,1.0836820083682008,0.07112970711297072,1.1841004184100419,0.06276150627615062
073126d6,0.453125,0.0625,0.515625,0.109375,0.5833333333333334,0.0,0.5833333333333334,0.08333333333333333,0.4230769230769231,0.07692307692307693,0.5,0.11538461538461539
07687c15,0.8706697459584296,0.04387990762124711,0.930715935334873,0.046189376443418015,0.9090909090909091,0.039525691699604744,0.9525691699604744,0.03162055335968379,0.8166666666666667,0.05,0.9,0.06666666666666667
078f166f,1.109375,0.0625,1.21875,0.046875,,,,,1.109375,0.0625,1.21875,0.046875
07ac9c54,1.2857142857142858,0.14285714285714285,1.4285714285714286,0.0,1.2857142857142858,0.14285714285714285,1.4285714285714286,0.0,,,,
07c15419,0.08333333333333333,0.5,0.5833333333333334,0.0,1.0,0.0,1.0,0.0,0.043478260869565216,0.5217391304347826,0.5652173913043478,0.0
07e5bda2,0.8085106382978723,0.10638297872340426,0.9787234042553191,0.02127659574468085,0.25,0.25,0.875,0.0,0.9230769230769231,0.07692307692307693,1.0,0.02564102564102564
080bbb6e,1.1388888888888888,0.18055555555555555,1.3611111111111112,0.013888888888888888,1.0,0.0,1.0,0.0,1.1515151515151516,0.19696969696969696,1.393939393939394,0.015151515151515152
