batter,total_runs_batter_mean,total_high_scoring_hit_mean,total_total_mean,total_is_wicket_mean,powerplay_runs_batter_mean,powerplay_high_scoring_hit_mean,powerplay_total_mean,powerplay_is_wicket_mean,non_powerplay_runs_batter_mean,non_powerplay_high_scoring_hit_mean,non_powerplay_total_mean,non_powerplay_is_wicket_mean
b7a608b0,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,,,,,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693
b7abb123,0.38461538461538464,0.01282051282051282,0.46153846153846156,0.15384615384615385,0.21052631578947367,0.0,0.47368421052631576,0.21052631578947367,0.4406779661016949,0.01694915254237288,0.4576271186440678,0.13559322033898305
b7d1eadd,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
b7d8c07d,1.0,0.08823529411764706,1.088235294117647,0.08823529411764706,,,,,1.0,0.08823529411764706,1.088235294117647,0.08823529411764706
b7db83eb,1.053763440860215,0.14516129032258066,1.1774193548387097,0.08602150537634409,0.8372093023255814,0.11627906976744186,0.8837209302325582,0.09302325581395349,1.118881118881119,0.15384615384615385,1.2657342657342658,0.08391608391608392
b7f70e36,1.0,0.1875,1.0,0.1875,1.0,0.1875,1.0,0.1875,,,,
b80dd12c,1.1501787842669846,0.1466030989272944,1.2252681764004767,0.04886769964243146,1.0123456790123457,0.13786008230452676,1.0967078189300412,0.05555555555555555,1.339943342776204,0.15864022662889518,1.4022662889518414,0.039660056657223795
b810425e,0.6,0.0,0.8,0.05,,,,,0.6,0.0,0.8,0.05
b8396e67,2.0,0.5,2.0,0.5,,,,,2.0,0.5,2.0,0.5
b84718fd,0.8611111111111112,0.05555555555555555,0.8611111111111112,0.05555555555555555,,,,,0.8611111111111112,0.05555555555555555,0.8611111111111112,0.05555555555555555
b84be97f,0.7391304347826086,0.08695652173913043,0.8260869565217391,0.08695652173913043,,,,,0.7391304347826086,0.08695652173913043,0.8260869565217391,0.08695652173913043
b857468a,1.0548672566371682,0.10619469026548672,1.168141592920354,0.047787610619469026,0.7619047619047619,0.09523809523809523,0.7857142857142857,0.023809523809523808,1.0783938814531548,0.10707456978967496,1.1988527724665392,0.0497131931166348
b858be20,0.9649122807017544,0.10526315789473684,1.1228070175438596,0.08771929824561403,,,,,0.9649122807017544,0.10526315789473684,1.1228070175438596,0.08771929824561403
b85ac5bb,0.5538461538461539,0.06153846153846154,0.6615384615384615,0.06153846153846154,0.4,0.05,0.45,0.05,0.6222222222222222,0.06666666666666667,0.7555555555555555,0.06666666666666667
b86dd1b0,1.3571428571428572,0.2857142857142857,1.4285714285714286,0.07142857142857142,1.4166666666666667,0.3333333333333333,1.5,0.08333333333333333,1.0,0.0,1.0,0.0
b8704508,1.1925925925925926,0.1382716049382716,1.2493827160493827,0.07407407407407407,0.3333333333333333,0.0,0.3333333333333333,0.0,1.205513784461153,0.14035087719298245,1.263157894736842,0.07518796992481203
b878fc9a,0.5,0.0,0.5,0.16666666666666666,,,,,0.5,0.0,0.5,0.16666666666666666
b8889eb7,0.0,0.0,0.0,0.5,,,,,0.0,0.0,0.0,0.5
b89cde87,0.8875,0.10833333333333334,1.0041666666666667,0.075,0.717948717948718,0.10256410256410256,0.9230769230769231,0.02564102564102564,0.9203980099502488,0.10945273631840796,1.0199004975124377,0.0845771144278607
b8a55852,1.2914473684210526,0.17434210526315788,1.3776315789473683,0.03618421052631579,1.1494252873563218,0.1824712643678161,1.2528735632183907,0.033045977011494254,1.4114077669902914,0.16747572815533981,1.483009708737864,0.038834951456310676
b8b95e44,0.3157894736842105,0.0,0.4473684210526316,0.13157894736842105,0.0,0.0,0.7142857142857143,0.0,0.3870967741935484,0.0,0.3870967741935484,0.16129032258064516
b8cc58c9,1.2697170379289584,0.17459361830222758,1.3263094521372667,0.04394942805538832,1.209806157354618,0.18700114025085518,1.281641961231471,0.03876852907639681,1.336734693877551,0.16071428571428573,1.3762755102040816,0.04974489795918367
b8cce99f,0.7488584474885844,0.0684931506849315,0.8264840182648402,0.0821917808219178,0.5714285714285714,0.03571428571428571,0.6607142857142857,0.07142857142857142,0.8098159509202454,0.07975460122699386,0.8834355828220859,0.08588957055214724
b8cd9955,0.0,0.0,0.0,0.5,,,,,0.0,0.0,0.0,0.5
b8d490fd,1.378619153674833,0.19198218262806235,1.4538975501113587,0.03964365256124722,1.312026913372582,0.20269133725820015,1.3969722455845248,0.03784693019343986,1.4535984848484849,0.17992424242424243,1.5179924242424243,0.041666666666666664
b8e65260,1.044776119402985,0.11940298507462686,1.1194029850746268,0.04477611940298507,0.8333333333333334,0.1111111111111111,0.9444444444444444,0.05555555555555555,1.0909090909090908,0.12121212121212122,1.1575757575757575,0.04242424242424243
b8f10b60,0.7757009345794392,0.06542056074766354,0.8177570093457944,0.037383177570093455,0.5970149253731343,0.05970149253731343,0.6417910447761194,0.029850746268656716,0.8571428571428571,0.06802721088435375,0.8979591836734694,0.04081632653061224
b8fe81be,0.5,0.07142857142857142,0.7857142857142857,0.07142857142857142,,,,,0.5,0.07142857142857142,0.7857142857142857,0.07142857142857142
b9094958,1.297872340425532,0.19574468085106383,1.5319148936170213,0.02553191489361702,0.6521739130434783,0.06521739130434782,0.8913043478260869,0.021739130434782608,1.4550264550264551,0.2275132275132275,1.687830687830688,0.026455026455026454
b91083bd,0.911504424778761,0.0943952802359882,1.0147492625368733,0.0471976401179941,0.6590909090909091,0.06818181818181818,0.8011363636363636,0.03977272727272727,1.1840490797546013,0.12269938650306748,1.2453987730061349,0.05521472392638037
b9164a9b,0.8816666666666667,0.058333333333333334,0.92,0.04,0.6949152542372882,0.0847457627118644,0.7288135593220338,0.01694915254237288,0.9020332717190388,0.05545286506469501,0.9408502772643254,0.04251386321626617
b91f2a31,0.76,0.08,0.84,0.08,,,,,0.76,0.08,0.84,0.08
b92d1fe6,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,,,,,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333
b931fc7b,0.13043478260869565,0.0,0.30434782608695654,0.08695652173913043,,,,,0.13043478260869565,0.0,0.30434782608695654,0.08695652173913043
b93b7337,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,,,,,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047
b93b87ae,1.032,0.096,1.136,0.088,,,,,1.032,0.096,1.136,0.088
